lineNumber	Ticker	Name	CIK	Year	CompetitorName	CompetitorTicker	CompetitorCIK
1	BMY	BRISTOL-MYERS SQUIBB CO	14272	2017	FDA	FDAGX	320351
1	BMY	BRISTOL-MYERS SQUIBB CO	14272	2017	Merck	MRK	310158
2	BMY	BRISTOL-MYERS SQUIBB CO	14272	2016	FDA	FDAGX	320351
3	BMY	BRISTOL-MYERS SQUIBB CO	14272	2015	FDA	FDAGX	320351
4	BMY	BRISTOL-MYERS SQUIBB CO	14272	2014	FDA	FDAGX	320351
5	BMY	BRISTOL-MYERS SQUIBB CO	14272	2013	Company	BA	12927
5	BMY	BRISTOL-MYERS SQUIBB CO	14272	2013	FDA	FDAGX	320351
6	BMY	BRISTOL-MYERS SQUIBB CO	14272	2012	FDA	FDAGX	320351
7	BMY	BRISTOL-MYERS SQUIBB CO	14272	2011	BLA	BX	1393818
7	BMY	BRISTOL-MYERS SQUIBB CO	14272	2011	FDA	FDAGX	320351
7	BMY	BRISTOL-MYERS SQUIBB CO	14272	2011	AstraZeneca	AZN	901832
7	BMY	BRISTOL-MYERS SQUIBB CO	14272	2011	NDA	NDAQ	1120193
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	Novartis	NVS	1114448
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	Abbott Laboratories	ABT	1800
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	Gilead Sciences	GILD	882095
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	Gilead	GILD	882095
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	Merck & Co.	MRK	310158
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	FDA	FDAGX	320351
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	Development	CDEV	1658566
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	Eli Lilly and Company	LLY	59478
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	Lilly	LLY	59478
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	Merck	MRK	310158
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	Amgen Inc.	AMGN	318154
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	Amgen	AMGN	318154
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	Company	BA	12927
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	AstraZeneca PLC	AZN	901832
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	AstraZeneca	AZN	901832
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	"Phase I, Phase II"	PZRXQ	1429386
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	II	IIPR	1677576
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	"Pfizer, Inc."	PFE	78003
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	VEG/	LVS	1300514
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	"Exelixis, Inc."	EXEL	939767
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	DTIC	DTICX	357059
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	Exelixis	EXEL	939767
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	RAS	TRHC	1651561
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	Pfizer	PFE	78003
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	NDA	NDAQ	1120193
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	BLA	BX	1393818
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	Chemical	APD	2969
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	EMA	EMAN	1046995
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	MAA	MAA	912595
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	EC	EC	1444406
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	PBM	PBMFX	1265389
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	MCO	MCO	1059556
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	Federal	FNMA	310522
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	PRP	PRPO	1043961
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	PTI	PTI	1445283
8	BMY	BRISTOL-MYERS SQUIBB CO	14272	2010	Bristol-Myers Squibb	BMY	14272
9	BMY	BRISTOL-MYERS SQUIBB CO	14272	2009	Form	FORM	1039399
9	BMY	BRISTOL-MYERS SQUIBB CO	14272	2009	Federal	FNMA	310522
9	BMY	BRISTOL-MYERS SQUIBB CO	14272	2009	Congress	CMLIX	811030
9	BMY	BRISTOL-MYERS SQUIBB CO	14272	2009	FDA	FDAGX	320351
9	BMY	BRISTOL-MYERS SQUIBB CO	14272	2009	BLA	BX	1393818
9	BMY	BRISTOL-MYERS SQUIBB CO	14272	2009	Pharmaceutical	TEVA	818686
10	BMY	BRISTOL-MYERS SQUIBB CO	14272	2008	Company	BA	12927
10	BMY	BRISTOL-MYERS SQUIBB CO	14272	2008	FDA	FDAGX	320351
11	BMY	BRISTOL-MYERS SQUIBB CO	14272	2007	Company	BA	12927
11	BMY	BRISTOL-MYERS SQUIBB CO	14272	2007	FDA	FDAGX	320351
12	BMY	BRISTOL-MYERS SQUIBB CO	14272	2006	Company	BA	12927
12	BMY	BRISTOL-MYERS SQUIBB CO	14272	2006	Court	HMG	311817
12	BMY	BRISTOL-MYERS SQUIBB CO	14272	2006	"Reddys Laboratories, Inc."	TSLA	1318605
12	BMY	BRISTOL-MYERS SQUIBB CO	14272	2006	LTD	MRVL	1058057
12	BMY	BRISTOL-MYERS SQUIBB CO	14272	2006	FDA	FDAGX	320351
12	BMY	BRISTOL-MYERS SQUIBB CO	14272	2006	Companies	BHC	885590
12	BMY	BRISTOL-MYERS SQUIBB CO	14272	2006	OUTLOOK	OTLK	1649989
12	BMY	BRISTOL-MYERS SQUIBB CO	14272	2006	Monitor	SRMC	100625
12	BMY	BRISTOL-MYERS SQUIBB CO	14272	2006	DPA	DPAT	1103017
13	BMY	BRISTOL-MYERS SQUIBB CO	14272	2005	Company	BA	12927
13	BMY	BRISTOL-MYERS SQUIBB CO	14272	2005	Manufacturing   	TSM	1046179
13	BMY	BRISTOL-MYERS SQUIBB CO	14272	2005	FDA	FDAGX	320351
25	CHRS	COHERUS BIOSCIENCES INC	19353	2012	Form	FORM	1039399
25	CHRS	COHERUS BIOSCIENCES INC	19353	2012	Management	NLY	1043219
25	CHRS	COHERUS BIOSCIENCES INC	19353	2012	Alliance Data	ADS	1101215
25	CHRS	COHERUS BIOSCIENCES INC	19353	2012	Federal	FNMA	310522
26	CHRS	COHERUS BIOSCIENCES INC	19353	2011	Form	FORM	1039399
26	CHRS	COHERUS BIOSCIENCES INC	19353	2011	Federal	FNMA	310522
26	CHRS	COHERUS BIOSCIENCES INC	19353	2011	Alliance Data	ADS	1101215
26	CHRS	COHERUS BIOSCIENCES INC	19353	2011	Easter	DEA	1622194
27	CHRS	COHERUS BIOSCIENCES INC	19353	2010	Form	FORM	1039399
27	CHRS	COHERUS BIOSCIENCES INC	19353	2010	Federal	FNMA	310522
27	CHRS	COHERUS BIOSCIENCES INC	19353	2010	Alliance Data	ADS	1101215
27	CHRS	COHERUS BIOSCIENCES INC	19353	2010	Easter	DEA	1622194
28	CHRS	COHERUS BIOSCIENCES INC	19353	2009	Easter	DEA	1622194
28	CHRS	COHERUS BIOSCIENCES INC	19353	2009	"all,nwhich"	ALL	899051
29	CHRS	COHERUS BIOSCIENCES INC	19353	2008	Federal	FNMA	310522
29	CHRS	COHERUS BIOSCIENCES INC	19353	2008	Easter	DEA	1622194
29	CHRS	COHERUS BIOSCIENCES INC	19353	2008	"all,nwhich"	ALL	899051
29	CHRS	COHERUS BIOSCIENCES INC	19353	2008	BRYANT	WTIBX	357204
29	CHRS	COHERUS BIOSCIENCES INC	19353	2008	Stores	ROST	745732
30	CHRS	COHERUS BIOSCIENCES INC	19353	2007	Federal	FNMA	310522
30	CHRS	COHERUS BIOSCIENCES INC	19353	2007	Easter	DEA	1622194
