number,ticker,source,",cik",year,target,cticker,ccik
1,BMY,BRISTOL-MYERS SQUIBB CO,14272,2017,Merck,MRK,310158
61,PFE,PFIZER INC,78003,2017,HIS,HSGX,1372299
61,PFE,PFIZER INC,78003,2017,Johnson & Johnson,JNJ,200406
61,PFE,PFIZER INC,78003,2017,Consumer Healthcare,PBH,1295947
85,JNJ,JOHNSON & JOHNSON,200406,2017,Pfizer Inc.,PFE,78003
103,MRK,MERCK & CO. INC.,310158,2017,Animal Health,ELAN,1739104
127,AMGN,AMGEN INC,318154,2017,RAR,RARX,1481512
127,AMGN,AMGEN INC,318154,2017,Merck,MRK,310158
150,CELG,CELGENE CORP,816284,2017,ADR,ADRO,1435049
150,CELG,CELGENE CORP,816284,2017,AbbVie,ABBV,1551152
150,CELG,CELGENE CORP,816284,2017,Amgen,AMGN,318154
150,CELG,CELGENE CORP,816284,2017,Bristol-Myers-Squibb,BMY,14272
150,CELG,CELGENE CORP,816284,2017,Merck,MRK,310158
150,CELG,CELGENE CORP,816284,2017,Biogen,BIIB,875045
150,CELG,CELGENE CORP,816284,2017,Eli Lilly,LLY,59478
150,CELG,CELGENE CORP,816284,2017,Johnson & Johnson,JNJ,200406
150,CELG,CELGENE CORP,816284,2017,Pfizer,PFE,78003
190,REGN,REGENERON PHARMACEUTICALS,872589,2017,Momenta Pharmaceuticals,MNTA,1235010
190,REGN,REGENERON PHARMACEUTICALS,872589,2017,Mylan,MYL,1623613
190,REGN,REGENERON PHARMACEUTICALS,872589,2017,TRACON,TCON,1394319
190,REGN,REGENERON PHARMACEUTICALS,872589,2017,Amgen,AMGN,318154
190,REGN,REGENERON PHARMACEUTICALS,872589,2017,AnaptysBio,ANAB,1370053
190,REGN,REGENERON PHARMACEUTICALS,872589,2017,Pfizer,PFE,78003
190,REGN,REGENERON PHARMACEUTICALS,872589,2017,AbbVie,ABBV,1551152
190,REGN,REGENERON PHARMACEUTICALS,872589,2017,Alnylam Pharmaceuticals,ALNY,1178670
190,REGN,REGENERON PHARMACEUTICALS,872589,2017,The Medicines Company,MDCO,1113481
190,REGN,REGENERON PHARMACEUTICALS,872589,2017,Esperion Therapeutics,ESPR,1434868
190,REGN,REGENERON PHARMACEUTICALS,872589,2017,Gemphire Therapeutics,GEMP,1128749
190,REGN,REGENERON PHARMACEUTICALS,872589,2017,"Alder Biopharmaceuticals,",ALDR,1423824
190,REGN,REGENERON PHARMACEUTICALS,872589,2017,Eli Lilly,LLY,59478
190,REGN,REGENERON PHARMACEUTICALS,872589,2017,Merck,MRK,310158
190,REGN,REGENERON PHARMACEUTICALS,872589,2017,Ionis Pharmaceuticals,IONS,874015
190,REGN,REGENERON PHARMACEUTICALS,872589,2017,Biogen,BIIB,875045
190,REGN,REGENERON PHARMACEUTICALS,872589,2017,Common Stock,EOLS,1570562
231,VRTX,VERTEX PHARMACEUTICALS INC,875320,2017,Bristol-Myers Squibb,BMY,14272
231,VRTX,VERTEX PHARMACEUTICALS INC,875320,2017,"Gilead, Johnson& Johnson",GILD,882095
231,VRTX,VERTEX PHARMACEUTICALS INC,875320,2017,Merck,MRK,310158
231,VRTX,VERTEX PHARMACEUTICALS INC,875320,2017,AbbVie,ABBV,1551152
231,VRTX,VERTEX PHARMACEUTICALS INC,875320,2017,Moderna,MRNA,1682852
251,INCY,INCYTE CORP,879169,2017,Sunshine,NATR,275053
251,INCY,INCYTE CORP,879169,2017,Celgene Corporation,CELG,816284
251,INCY,INCYTE CORP,879169,2017,Lilly,LLY,59478
251,INCY,INCYTE CORP,879169,2017,Agenus Inc.,AGEN,1098972
251,INCY,INCYTE CORP,879169,2017,"Calithera Biosciences, Inc.",CALA,1496671
251,INCY,INCYTE CORP,879169,2017,"MacroGenics, Inc.",MGNX,1125345
251,INCY,INCYTE CORP,879169,2017,Merus N.V.,MRUS,1651311
251,INCY,INCYTE CORP,879169,2017,"Syros Pharmaceuticals, Inc.",SYRS,1556263
272,GILD,GILEAD SCIENCES INC,882095,2017,"Merck & Co.,",MRK,310158
272,GILD,GILEAD SCIENCES INC,882095,2017,Merck,MRK,310158
272,GILD,GILEAD SCIENCES INC,882095,2017,AbbVie Inc.,ABBV,1551152
272,GILD,GILEAD SCIENCES INC,882095,2017,AbbVie,ABBV,1551152
272,GILD,GILEAD SCIENCES INC,882095,2017,Bristol-Myers Squibb Company,BMY,14272
272,GILD,GILEAD SCIENCES INC,882095,2017,United Therapeutics Corporation,UTHR,1082554
272,GILD,GILEAD SCIENCES INC,882095,2017,Pfizer Inc.,PFE,78003
272,GILD,GILEAD SCIENCES INC,882095,2017,Ionis Pharmaceuticals,IONS,874015
272,GILD,GILEAD SCIENCES INC,882095,2017,"Medicines, Access & KnowledgeIn",MDCO,1113481
272,GILD,GILEAD SCIENCES INC,882095,2017,"Medicines, Access & Knowledge",MDCO,1113481
272,GILD,GILEAD SCIENCES INC,882095,2017,Mylan,MYL,1623613
272,GILD,GILEAD SCIENCES INC,882095,2017,Amneal,AMRX,1723128
321,ZTS,ZOETIS INC,1555280,2017,Pfizer,PFE,78003
327,MNK,MALLINCKRODT PLC,1567892,2017,Bristol-Myers Squibb Company,BMY,14272
332,PRGO,PERRIGO CO PLC,1585364,2017,Animal Health,ELAN,1739104
332,PRGO,PERRIGO CO PLC,1585364,2017,Elan,ELAN,1739104
332,PRGO,PERRIGO CO PLC,1585364,2017,"Elan, Perrigo Company",ELAN,1739104
454,SPPI,SPECTRUM PHARMACEUTICALS INC,831547,2017,Endo International,ENDP,1593034
454,SPPI,SPECTRUM PHARMACEUTICALS INC,831547,2017,Eli Lilly and Company,LLY,59478
454,SPPI,SPECTRUM PHARMACEUTICALS INC,831547,2017,Bristol-Myers Squibb Company,BMY,14272
454,SPPI,SPECTRUM PHARMACEUTICALS INC,831547,2017,"Seattle Genetics, Inc.",SGEN,1060736
454,SPPI,SPECTRUM PHARMACEUTICALS INC,831547,2017,Biogen Inc.,BIIB,875045
454,SPPI,SPECTRUM PHARMACEUTICALS INC,831547,2017,"Pfizer, Inc.",PFE,78003
454,SPPI,SPECTRUM PHARMACEUTICALS INC,831547,2017,Merck & Co. Inc.,MRK,310158
454,SPPI,SPECTRUM PHARMACEUTICALS INC,831547,2017,Celgene Corporation,CELG,816284
454,SPPI,SPECTRUM PHARMACEUTICALS INC,831547,2017,AbbVie Inc.,ABBV,1551152
454,SPPI,SPECTRUM PHARMACEUTICALS INC,831547,2017,Johnson& Johnson,JNJ,200406
473,PDLI,PDL BIOPHARMA INC,882104,2017,AbbVie Inc.,ABBV,1551152
502,LGND,LIGAND PHARMACEUTICALS,886163,2017,Amgen,AMGN,318154
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,Bristol-Myers Squibb,BMY,14272
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,Lilly,LLY,59478
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,Biogen Inc.,BIIB,875045
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,"Merck& Co., Inc.",MRK,310158
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,"Progenics Pharmaceuticals, Inc.",PGNX,835887
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,Alkermes,ALKS,1520262
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,"Theravance, Inc.",TBPH,1583107
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,Biogen,BIIB,875045
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,"Acura Pharmaceuticals, Inc.",ACUR,786947
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,"Cara Therapeutics, Inc.",CARA,1346830
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,"Collegium Pharmaceutical, Inc.",COLL,1267565
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,"Elite Pharmaceuticals, Inc.",ELTP,1053369
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,"KemPharm, Inc.",KMPH,1434647
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,"Pfizer, Inc.",PFE,78003
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,Bristol-Myers Squibb Company,BMY,14272
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,Eli Lilly& Co.,LLY,59478
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,"Johnson, Pfizer Inc.",JNJ,200406
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,TIL,TLRY,1731348
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,Celgene Corporation,CELG,816284
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,Merck,MRK,310158
563,NKTR,NEKTAR THERAPEUTICS,906709,2017,Amgen Inc.,AMGN,318154
597,ASRT,ASSERTIO THERAPEUTICS INC,1005201,2017,Collegium Pharmaceutical Inc.,COLL,1267565
597,ASRT,ASSERTIO THERAPEUTICS INC,1005201,2017,Collegium,COLL,1267565
597,ASRT,ASSERTIO THERAPEUTICS INC,1005201,2017,"Endo Pharmaceuticals, Inc.",ENDP,1593034
597,ASRT,ASSERTIO THERAPEUTICS INC,1005201,2017,Ironwood,IRWD,1446847
614,ACOR,ACORDA THERAPEUTICS INC,1008848,2017,ARCUS,RCUS,1724521
614,ACOR,ACORDA THERAPEUTICS INC,1008848,2017,Alkermes,ALKS,1520262
614,ACOR,ACORDA THERAPEUTICS INC,1008848,2017,Biogen,BIIB,875045
614,ACOR,ACORDA THERAPEUTICS INC,1008848,2017,"Adamas Pharmaceuticals, Inc.",ADMS,1328143
614,ACOR,ACORDA THERAPEUTICS INC,1008848,2017,"Catalyst Pharmaceuticals, Inc.",CPRX,1369568
614,ACOR,ACORDA THERAPEUTICS INC,1008848,2017,Intec Pharma,NTEC,1638381
614,ACOR,ACORDA THERAPEUTICS INC,1008848,2017,Abbvie Inc.,ABBV,1551152
614,ACOR,ACORDA THERAPEUTICS INC,1008848,2017,MannKind Corporation,MNKD,899460
614,ACOR,ACORDA THERAPEUTICS INC,1008848,2017,"Pulmatrix, Inc.",PULM,1574235
614,ACOR,ACORDA THERAPEUTICS INC,1008848,2017,"Allergan, Inc.",AGN,1578845
627,ARQL,ARQULE INC,1019695,2017,AOL,AOLS,1261734
627,ARQL,ARQULE INC,1019695,2017,Biogen,BIIB,875045
627,ARQL,ARQULE INC,1019695,2017,"Ziopharm Oncology, Inc.",ZIOP,1107421
627,ARQL,ARQULE INC,1019695,2017,AbbVie Inc.,ABBV,1551152
627,ARQL,ARQULE INC,1019695,2017,"Amgen, Inc.",AMGN,318154
627,ARQL,ARQULE INC,1019695,2017,Array BioPharma Inc.,ARRY,1100412
627,ARQL,ARQULE INC,1019695,2017,Celgene Corporation,CELG,816284
627,ARQL,ARQULE INC,1019695,2017,"Curis, Inc.",CRIS,1108205
627,ARQL,ARQULE INC,1019695,2017,"Exelixis, Inc.",EXEL,939767
627,ARQL,ARQULE INC,1019695,2017,Eli Lilly and Company,LLY,59478
627,ARQL,ARQULE INC,1019695,2017,"Gilead Sciences, Inc.",GILD,882095
627,ARQL,ARQULE INC,1019695,2017,Incyte Corporation,INCY,879169
627,ARQL,ARQULE INC,1019695,2017,"Infinity Pharmaceuticals, Inc.",INFI,1113148
627,ARQL,ARQULE INC,1019695,2017,Merck,MRK,310158
627,ARQL,ARQULE INC,1019695,2017,"Pfizer, Inc.",PFE,78003
627,ARQL,ARQULE INC,1019695,2017,"Principia Biopharma, Inc.",PRNB,1510487
627,ARQL,ARQULE INC,1019695,2017,"Sunesis Pharmaceuticals, Inc.",SNSS,1061027
